,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName,collectionHdPrice,trackHdPrice,contentAdvisoryRating,shortDescription,longDescription,collectionArtistId,collectionArtistViewUrl,trackRentalPrice,trackHdRentalPrice,copyright,description,feedUrl,artworkUrl600,genreIds,genres
147,track,song,13525.0,391713300.0,391713395.0,The Alan Parsons Project,I Robot (Expanded Edition),Day After Day (The Show Must Go On),I Robot (Expanded Edition),Day After Day (The Show Must Go On),https://music.apple.com/us/artist/the-alan-parsons-project/13525?uo=4,https://music.apple.com/us/album/day-after-day-the-show-must-go-on/391713300?i=391713395&uo=4,https://music.apple.com/us/album/day-after-day-the-show-must-go-on/391713300?i=391713395&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ca/77/02/ca77029f-559a-36be-6f54-7cc874f919f2/mzaf_6911312731123735429.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/6b/41/b9/6b41b94c-ce3b-718d-36d5-23e35be076ca/mzi.kuijefnd.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/6b/41/b9/6b41b94c-ce3b-718d-36d5-23e35be076ca/mzi.kuijefnd.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/6b/41/b9/6b41b94c-ce3b-718d-36d5-23e35be076ca/mzi.kuijefnd.jpg/100x100bb.jpg,9.99,1.29,1977-06-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,15.0,8.0,237160.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
148,track,song,2900925.0,416206556.0,416206583.0,Roots Manuva,Slime and Reason,The Show Must Go On,Slime and Reason,The Show Must Go On,https://music.apple.com/us/artist/roots-manuva/2900925?uo=4,https://music.apple.com/us/album/the-show-must-go-on/416206556?i=416206583&uo=4,https://music.apple.com/us/album/the-show-must-go-on/416206556?i=416206583&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e5/98/47/e598477f-fe36-30e9-2f44-e43cb683e1b4/mzaf_1281112898280011809.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/25/6a/80/256a801a-a1aa-96e4-0250-8f99a33be589/5021392123899.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/25/6a/80/256a801a-a1aa-96e4-0250-8f99a33be589/5021392123899.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/25/6a/80/256a801a-a1aa-96e4-0250-8f99a33be589/5021392123899.jpg/100x100bb.jpg,9.99,0.99,2008-08-31T12:00:00Z,explicit,explicit,1.0,1.0,14.0,11.0,367400.0,USA,USD,Hip-Hop/Rap,True,,,,Explicit,,,,,,,,,,,,
149,audiobook,,364545082.0,1598053516.0,,Tina Wells,Honest June: The Show Must Go On (Unabridged),,Honest June: The Show Must Go On (Unabridged),,https://books.apple.com/us/author/tina-wells/id364545082?uo=4,https://books.apple.com/us/audiobook/honest-june-the-show-must-go-on-unabridged/id1598053516?uo=4,,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/d3/cf/ca/d3cfcafc-bd60-135d-f1d0-0cc64a2514fa/mzaf_17306400601403801776.std.aac.p.m4a,,https://is2-ssl.mzstatic.com/image/thumb/Music122/v4/bf/3d/59/bf3d5977-6bac-5182-af03-977c4daeeb07/9780593559802.d.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music122/v4/bf/3d/59/bf3d5977-6bac-5182-af03-977c4daeeb07/9780593559802.d.jpg/100x100bb.jpg,12.99,,2022-08-30T07:00:00Z,notExplicit,,,,1.0,,,USA,USD,Kids & Young Adults,,,,,,,,,,,,,"<b>June can't tell a lie - and that made for a lot of drama even before she joined her school musical! Tween readers won't want to miss this relatable and magical new series. <i>Honestly.</i></b><br /><br />June has a hard time telling the truth when it isn't what people want to hear. But she's trying to be honest with herself, and auditioning for the school musical is a step in the right direction! It's what she wants -- even if her parents have other ideas.&#xa0;<br />&#xa0;<br />But the drama is brewing offstage, too, and on the night of the play,&#xa0;June's secret blog is released to the whole school. ALL of the inner secrets that she's been desperate to keep to herself are unleashed! Will her friends and family forgive her for the lies? Or is her carefully-constructed life going to come crashing down?",,,,
150,track,song,166848568.0,596065215.0,596065362.0,Divinefire,Hero,The Show Must Go On,Hero,The Show Must Go On,https://music.apple.com/us/artist/divinefire/166848568?uo=4,https://music.apple.com/us/album/the-show-must-go-on/596065215?i=596065362&uo=4,https://music.apple.com/us/album/the-show-must-go-on/596065215?i=596065362&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1d/e0/4e/1de04e70-e854-bea4-abf7-c770b3094d93/mzaf_11617833952641225324.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/a8/9a/b9/a89ab91c-c443-10fe-72bb-d9bbffb01b70/cover.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/a8/9a/b9/a89ab91c-c443-10fe-72bb-d9bbffb01b70/cover.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music118/v4/a8/9a/b9/a89ab91c-c443-10fe-72bb-d9bbffb01b70/cover.jpg/100x100bb.jpg,10.99,1.29,2005-01-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,10.0,10.0,249987.0,USA,USD,Rock,True,,,,,,,,,,,,,,,,
151,track,song,54894254.0,54894579.0,54894379.0,Bear Creek,The Show Must Go On,Straight Naanan,The Show Must Go On,Straight Naanan,https://music.apple.com/us/artist/bear-creek/54894254?uo=4,https://music.apple.com/us/album/straight-naanan/54894579?i=54894379&uo=4,https://music.apple.com/us/album/straight-naanan/54894579?i=54894379&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/06/f7/84/06f78465-2f0e-2887-b301-b515fbf4e621/mzaf_9408815385911462887.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/y2005/m03/d30/h16/s05.ftgoiuwe.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/y2005/m03/d30/h16/s05.ftgoiuwe.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/y2005/m03/d30/h16/s05.ftgoiuwe.jpg/100x100bb.jpg,9.99,0.99,2003-01-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,11.0,5.0,217573.0,USA,USD,Worldwide,True,,,,,,,,,,,,,,,,
152,track,song,515074241.0,1449477944.0,1449480234.0,Søren Bebe,Music for Tap Dance (Piano Music for all Tap Levels),The Show Must Go On,Music for Tap Dance (Piano Music for all Tap Levels),The Show Must Go On,https://music.apple.com/us/artist/s%C3%B8ren-bebe/515074241?uo=4,https://music.apple.com/us/album/the-show-must-go-on/1449477944?i=1449480234&uo=4,https://music.apple.com/us/album/the-show-must-go-on/1449477944?i=1449480234&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/29/ff/d8/29ffd89a-1f32-6f43-8190-4e65f3741ca7/mzaf_8150188393453948522.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/e0/b0/fc/e0b0fc72-5d09-7203-51eb-0ec3215ccd85/cover.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/e0/b0/fc/e0b0fc72-5d09-7203-51eb-0ec3215ccd85/cover.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/e0/b0/fc/e0b0fc72-5d09-7203-51eb-0ec3215ccd85/cover.jpg/100x100bb.jpg,10.99,1.29,2013-03-27T12:00:00Z,notExplicit,notExplicit,1.0,1.0,37.0,27.0,93213.0,USA,USD,Jazz,True,,,,,,,,,,,,,,,,
153,track,song,54894254.0,54894579.0,54894386.0,Bear Creek,The Show Must Go On,The AZ Flats,The Show Must Go On,The AZ Flats,https://music.apple.com/us/artist/bear-creek/54894254?uo=4,https://music.apple.com/us/album/the-az-flats/54894579?i=54894386&uo=4,https://music.apple.com/us/album/the-az-flats/54894579?i=54894386&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e5/55/07/e55507c6-52a8-e0a4-03d7-abf560366d76/mzaf_9154098294564006474.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/y2005/m03/d30/h16/s05.ftgoiuwe.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/y2005/m03/d30/h16/s05.ftgoiuwe.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/y2005/m03/d30/h16/s05.ftgoiuwe.jpg/100x100bb.jpg,9.99,0.99,2003-01-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,11.0,8.0,236920.0,USA,USD,Worldwide,True,,,,,,,,,,,,,,,,
154,track,song,1140929302.0,1617336247.0,1617336450.0,Steve Grimmett's Grim Reaper,Reaping the Whirlwind (Live),The Show Must Go On,Reaping the Whirlwind (Live),The Show Must Go On (Live),https://music.apple.com/us/artist/steve-grimmetts-grim-reaper/1140929302?uo=4,https://music.apple.com/us/album/the-show-must-go-on-live/1617336247?i=1617336450&uo=4,https://music.apple.com/us/album/the-show-must-go-on-live/1617336247?i=1617336450&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/b4/67/74/b46774bd-b4fa-b890-426e-ecb4b9ac40d1/mzaf_14420699218757272614.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/14/54/67/1454671e-eb15-f80a-3e0d-4203bf20b7ae/803341530331.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/14/54/67/1454671e-eb15-f80a-3e0d-4203bf20b7ae/803341530331.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/14/54/67/1454671e-eb15-f80a-3e0d-4203bf20b7ae/803341530331.jpg/100x100bb.jpg,9.99,1.29,2022-03-11T12:00:00Z,notExplicit,notExplicit,1.0,1.0,19.0,15.0,400787.0,USA,USD,Metal,True,,,,,,,,,,,,,,,,
155,track,song,422766714.0,422766710.0,422766898.0,Le Cirque du Silence,Choral Queen,The Show Must Go On,Choral Queen,The Show Must Go On,https://music.apple.com/us/artist/le-cirque-du-silence/422766714?uo=4,https://music.apple.com/us/album/the-show-must-go-on/422766710?i=422766898&uo=4,https://music.apple.com/us/album/the-show-must-go-on/422766710?i=422766898&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/63/69/f3/mzm.dnuziygm.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/88/1c/b7/mzi.bgmgnoxj.tif/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music/88/1c/b7/mzi.bgmgnoxj.tif/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music/88/1c/b7/mzi.bgmgnoxj.tif/100x100bb.jpg,9.99,1.29,2011-03-22T12:00:00Z,notExplicit,notExplicit,1.0,1.0,10.0,4.0,234200.0,USA,USD,Pop,True,,,,,,,,,,,,,,,,
156,track,song,292944974.0,576618500.0,576619140.0,Wave Mechanics Union,Further to Fly,The Show Must Go On,Further to Fly,The Show Must Go On,https://music.apple.com/us/artist/wave-mechanics-union/292944974?uo=4,https://music.apple.com/us/album/the-show-must-go-on/576618500?i=576619140&uo=4,https://music.apple.com/us/album/the-show-must-go-on/576618500?i=576619140&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/46/80/c0/4680c0ec-fd54-dd5c-a8e3-bec2db9d705b/mzaf_6745586465884659522.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/c8/57/96/c85796e5-9bec-09d4-ad15-5965e67415ef/884501802130.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/c8/57/96/c85796e5-9bec-09d4-ad15-5965e67415ef/884501802130.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music/v4/c8/57/96/c85796e5-9bec-09d4-ad15-5965e67415ef/884501802130.jpg/100x100bb.jpg,9.99,0.99,2012-10-16T12:00:00Z,notExplicit,notExplicit,1.0,1.0,14.0,14.0,317691.0,USA,USD,Jazz,True,,,,,,,,,,,,,,,,
