,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName,collectionArtistId,collectionHdPrice,trackHdPrice,contentAdvisoryRating,shortDescription,longDescription,collectionArtistViewUrl,feedUrl,trackRentalPrice,trackHdRentalPrice,artworkUrl600,genreIds,genres
158,track,song,515074241.0,1449477944,1449480234,Søren Bebe,Music for Tap Dance (Piano Music for all Tap Levels),The Show Must Go On,Music for Tap Dance (Piano Music for all Tap Levels),The Show Must Go On,https://music.apple.com/us/artist/s%C3%B8ren-bebe/515074241?uo=4,https://music.apple.com/us/album/the-show-must-go-on/1449477944?i=1449480234&uo=4,https://music.apple.com/us/album/the-show-must-go-on/1449477944?i=1449480234&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/29/ff/d8/29ffd89a-1f32-6f43-8190-4e65f3741ca7/mzaf_8150188393453948522.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/6c/3a/55/6c3a5550-6000-9c02-99b8-94442a617851/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/6c/3a/55/6c3a5550-6000-9c02-99b8-94442a617851/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/6c/3a/55/6c3a5550-6000-9c02-99b8-94442a617851/source/100x100bb.jpg,10.99,1.29,2013-03-27T12:00:00Z,notExplicit,notExplicit,1.0,1.0,37,27.0,93213.0,USA,USD,Jazz,True,,,,,,,,,,,,,,
159,track,song,292944974.0,576618500,576619140,Wave Mechanics Union,Further to Fly,The Show Must Go On,Further to Fly,The Show Must Go On,https://music.apple.com/us/artist/wave-mechanics-union/292944974?uo=4,https://music.apple.com/us/album/the-show-must-go-on/576618500?i=576619140&uo=4,https://music.apple.com/us/album/the-show-must-go-on/576618500?i=576619140&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/46/80/c0/4680c0ec-fd54-dd5c-a8e3-bec2db9d705b/mzaf_6745586465884659522.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/04/84/08/048408bc-e455-0796-d546-57bc268761a9/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/04/84/08/048408bc-e455-0796-d546-57bc268761a9/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/04/84/08/048408bc-e455-0796-d546-57bc268761a9/source/100x100bb.jpg,9.99,0.99,2012-10-16T12:00:00Z,notExplicit,notExplicit,1.0,1.0,14,14.0,317691.0,USA,USD,Jazz,True,,,,,,,,,,,,,,
160,track,song,786753842.0,1477317263,1477317265,David Plumpton,Mega Hits for Ballet: Inspirational Ballet Class Music,"The Show Must Go on (From ""Bohemian Rhapsody"") [Warm Up]",Mega Hits for Ballet: Inspirational Ballet Class Music,"The Show Must Go on (From ""Bohemian Rhapsody"") [Warm Up]",https://music.apple.com/us/artist/david-plumpton/786753842?uo=4,https://music.apple.com/us/album/the-show-must-go-on-from-bohemian-rhapsody-warm-up/1477317263?i=1477317265&uo=4,https://music.apple.com/us/album/the-show-must-go-on-from-bohemian-rhapsody-warm-up/1477317263?i=1477317265&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/d2/34/aa/d234aaa2-6163-f7bc-3a2f-58ae438d7415/mzaf_4763235215049331566.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music113/v4/a1/ac/ad/a1acadf1-27c7-f615-286a-dd22c4072a29/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music113/v4/a1/ac/ad/a1acadf1-27c7-f615-286a-dd22c4072a29/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music113/v4/a1/ac/ad/a1acadf1-27c7-f615-286a-dd22c4072a29/source/100x100bb.jpg,15.99,1.29,2018-12-15T12:00:00Z,notExplicit,notExplicit,1.0,1.0,36,1.0,182000.0,USA,USD,Instrumental,False,,,,,,,,,,,,,,
161,track,song,422766714.0,422766710,422766898,Le Cirque du Silence,Choral Queen,The Show Must Go On,Choral Queen,The Show Must Go On,https://music.apple.com/us/artist/le-cirque-du-silence/422766714?uo=4,https://music.apple.com/us/album/the-show-must-go-on/422766710?i=422766898&uo=4,https://music.apple.com/us/album/the-show-must-go-on/422766710?i=422766898&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/63/69/f3/mzm.dnuziygm.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/b3/e7/71/b3e77180-4532-ec5b-74fe-4d8c9c1e7099/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/b3/e7/71/b3e77180-4532-ec5b-74fe-4d8c9c1e7099/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/b3/e7/71/b3e77180-4532-ec5b-74fe-4d8c9c1e7099/source/100x100bb.jpg,9.99,1.29,2011-03-22T12:00:00Z,notExplicit,notExplicit,1.0,1.0,10,4.0,234200.0,USA,USD,Pop,True,,,,,,,,,,,,,,
162,track,song,256176428.0,526972454,526972469,Nirvana,Cult,The Show Must Go On,Cult,The Show Must Go On,https://music.apple.com/us/artist/nirvana/256176428?uo=4,https://music.apple.com/us/album/the-show-must-go-on/526972454?i=526972469&uo=4,https://music.apple.com/us/album/the-show-must-go-on/526972454?i=526972469&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/20/2d/54/202d544a-143e-b7cf-69ec-677e3b9fbe89/mzaf_10215469721125677769.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/8b/bf/ea/8bbfea20-5ef7-7bb2-3d0a-04da7055d4c4/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/8b/bf/ea/8bbfea20-5ef7-7bb2-3d0a-04da7055d4c4/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/8b/bf/ea/8bbfea20-5ef7-7bb2-3d0a-04da7055d4c4/source/100x100bb.jpg,9.99,0.99,1968-01-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,23,12.0,159787.0,USA,USD,Psychedelic,True,,,,,,,,,,,,,,
163,track,song,18280168.0,276376944,276376972,The Embers,The Show Must Go On,The Last Time I'm Saying Goodbye,The Show Must Go On,The Last Time I'm Saying Goodbye,https://music.apple.com/us/artist/the-embers/18280168?uo=4,https://music.apple.com/us/album/the-last-time-im-saying-goodbye/276376944?i=276376972&uo=4,https://music.apple.com/us/album/the-last-time-im-saying-goodbye/276376944?i=276376972&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/02/be/1e/mzm.ngrmeafk.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/100x100bb.jpg,9.99,0.99,2007-09-13T12:00:00Z,notExplicit,notExplicit,1.0,1.0,12,1.0,205107.0,USA,USD,R&B/Soul,True,,,,,,,,,,,,,,
164,track,tv-episode,1441032136.0,1441032137,1441055437,Babar,"Babar, Season 1",The Show Must Go On,"Babar, Season 1",The Show Must Go On,https://itunes.apple.com/us/tv-show/babar/id1441032136?uo=4,https://itunes.apple.com/us/tv-season/the-show-must-go-on/id1441032137?i=1441055437&uo=4,https://itunes.apple.com/us/tv-season/the-show-must-go-on/id1441032137?i=1441055437&uo=4,https://video-ssl.itunes.apple.com/itunes-assets/Video118/v4/e4/a4/02/e4a40241-b96a-06be-2acf-4856c3e05ac0/mzvf_3231369439705999641.640x476.h264lc.U.p.m4v,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/ca/69/60/ca6960d3-3b98-244f-dc96-c0f06efe5af2/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/ca/69/60/ca6960d3-3b98-244f-dc96-c0f06efe5af2/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/ca/69/60/ca6960d3-3b98-244f-dc96-c0f06efe5af2/source/100x100bb.jpg,9.99,1.99,1989-03-07T08:00:00Z,notExplicit,notExplicit,1.0,1.0,13,10.0,1397165.0,USA,USD,Animation,,,,,,TV-G,"When Babar organizes a world class ballet to be performed in Celesteville, the star—a temperamental","When Babar organizes a world class ballet to be performed in Celesteville, the star—a temperamental prima ballerina—makes problems for his friends in the cast and crew.",,,,,,,
165,track,song,290673801.0,290673798,290673816,Morocco's Band,Songs from Queen,The Show Must Go On,Songs from Queen,The Show Must Go On,https://music.apple.com/us/artist/moroccos-band/290673801?uo=4,https://music.apple.com/us/album/the-show-must-go-on/290673798?i=290673816&uo=4,https://music.apple.com/us/album/the-show-must-go-on/290673798?i=290673816&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/2b/f0/fb/2bf0fb31-4656-73ef-6622-b6e45372178b/mzaf_8235275209134275628.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/a4/1e/c6/a41ec639-0690-89fd-bf0b-1ac33383f801/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/a4/1e/c6/a41ec639-0690-89fd-bf0b-1ac33383f801/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/a4/1e/c6/a41ec639-0690-89fd-bf0b-1ac33383f801/source/100x100bb.jpg,9.99,0.99,2008-07-01T12:00:00Z,notExplicit,notExplicit,1.0,1.0,20,3.0,245747.0,USA,USD,Children's Music,True,,,,,,,,,,,,,,
166,track,song,18280168.0,276376944,276377152,The Embers,The Show Must Go On,Get Your Loving While I Can,The Show Must Go On,Get Your Loving While I Can,https://music.apple.com/us/artist/the-embers/18280168?uo=4,https://music.apple.com/us/album/get-your-loving-while-i-can/276376944?i=276377152&uo=4,https://music.apple.com/us/album/get-your-loving-while-i-can/276376944?i=276377152&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/67/c7/f3/mzm.vttuhhmp.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/100x100bb.jpg,9.99,0.99,2008-03-10T12:00:00Z,notExplicit,notExplicit,1.0,1.0,12,12.0,217720.0,USA,USD,R&B/Soul,True,,,,,,,,,,,,,,
167,track,song,18280168.0,276376944,276377076,The Embers,The Show Must Go On,You're the Reason,The Show Must Go On,You're the Reason,https://music.apple.com/us/artist/the-embers/18280168?uo=4,https://music.apple.com/us/album/youre-the-reason/276376944?i=276377076&uo=4,https://music.apple.com/us/album/youre-the-reason/276376944?i=276377076&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4f/39/ef/4f39efb6-c642-88bf-6c47-2e6b38cb02db/mzaf_3314527569484885576.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/13/b7/3e/13b73e38-9eec-0d8c-5d3e-7817b87d0942/source/100x100bb.jpg,9.99,0.99,2008-03-10T12:00:00Z,notExplicit,notExplicit,1.0,1.0,12,6.0,242320.0,USA,USD,R&B/Soul,True,,,,,,,,,,,,,,
